"name"	"no"	"station "	"depth [m]"	"data"	"V-taken [ml]"	"Vth filtered [L]"	"V bottle [ml]"	"Class/Phylum"	"takson"	"takson_add"	"Taxon_full"	"AphiaID"	"K"	"N"	"fields"	"magn"	"cells in chamb"	"cells in V bottle [ml]"	"cells in 1000 ml"	"Gear"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Dinophyceae "	"Alexandrium"	"sp."	"Alexandrium sp."	109470	16635.11	2	213	60	156.198215962441	3123.96431924883	3123.96431924883	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Chrysophyceae  "	"Chrysophyceae non det."	"cyst"	"Dinobryon spp. cyst"		16635.11	1	213	60	78.0991079812207	1561.98215962441	1561.98215962441	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Prymnesiophyceae "	"Coccolithales "	"non.det"	"Coccolithales  non.det"		16635.11	29	213	60	2264.8741314554	45297.482629108	45297.482629108	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Cryptophyceae "	"Cryptomonas"	"sp."	"Cryptomonas sp."	106282	16635.11	42	213	60	3280.16253521127	65603.2507042253	65603.2507042253	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Prymnesiophyceae "	"Emiliania huxleyi "		"Emiliania huxleyi  "	115104	16635.11	1	213	60	78.0991079812207	1561.98215962441	1561.98215962441	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Flagellatae non det."	"Flagellatae non det."	"<5um"	"Flagellatae <5um"		16635.11	35	213	60	2733.46877934272	54669.3755868545	54669.3755868545	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Flagellatae non det."	"Flagellatae non det."	"5-10um"	"Flagellatae 5-10um"		16635.11	50	95	60	8755.32105263158	175106.421052632	175106.421052632	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. cf g. gracilentum"	"Gymnodinium sp. cf. G. gracilentum"		16635.11	14	213	60	1093.38751173709	21867.7502347418	21867.7502347418	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. 10-20um"	"Gymnodinium sp. 10-20um"		16635.11	10	213	60	780.991079812207	15619.8215962441	15619.8215962441	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. cf g.wulffii"	"Gymnodinium sp. cf. G. wulffii"		16635.11	4	213	60	312.396431924883	6247.92863849765	6247.92863849765	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. „krasnal”"	"Gymnodinium sp. „krasnal”"		16635.11	1	213	60	78.0991079812207	1561.98215962441	1561.98215962441	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium galeatum"		"Gymnodinium galeatum "		16635.11	18	213	60	1405.78394366197	28115.6788732394	28115.6788732394	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium simplex"		"Gymnodinium simplex "	109831	16635.11	1	213	60	78.0991079812207	1561.98215962441	1561.98215962441	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Dinophyceae "	"Gyrodinium flagellare"		"Gyrodinium flagellare  "		16635.11	4	213	60	312.396431924883	6247.92863849765	6247.92863849765	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Dinophyceae "	"Heterocapsa "	"sp."	"Heterocapsa  sp."		16635.11	1	213	60	78.0991079812207	1561.98215962441	1561.98215962441	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Dinophyceae "	"Heterocapsa rotundata"		"Heterocapsa rotundata "		16635.11	16	213	60	1249.58572769953	24991.7145539906	24991.7145539906	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Cryptophyceae "	"Leucocryptos marina"		"Leucocryptos marina "		16635.11	2	213	60	156.198215962441	3123.96431924883	3123.96431924883	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Oligotrichea"	"Lohmanniella oviformis"		"Lohmanniella oviformis "		16635.11	1	213	60	78.0991079812207	1561.98215962441	1561.98215962441	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Litostomatea "	"Mesodinium rubrum "		"Mesodinium rubrum  "		16635.11	2	213	60	156.198215962441	3123.96431924883	3123.96431924883	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Choanoflagellatea "	"Monosiga marina"		"Monosiga marina "		16635.11	10	213	60	780.991079812207	15619.8215962441	15619.8215962441	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Dinophyceae "	"Oxyrrhis "	"sp."	"Oxyrrhis  sp."		16635.11	16	213	60	1249.58572769953	24991.7145539906	24991.7145539906	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Prasinophyceae"	"Pachysphaera"	"sp."	"Pachysphaera sp."		16635.11	4	213	60	312.396431924883	6247.92863849765	6247.92863849765	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Dinophyceae "	"Prorocentrum"	"sp."	"Prorocentrum sp."		16635.11	4	213	60	312.396431924883	6247.92863849765	6247.92863849765	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Dinophyceae "	"Protoperidinium bipes"		"Protoperidinium bipes "		16635.11	3	213	60	234.297323943662	4685.94647887324	4685.94647887324	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Prasinophyceae"	"Pyramimonas"	"sp."	"Pyramimonas sp."		16635.11	23	213	60	1796.27948356808	35925.5896713615	35925.5896713615	"niskin"
"MOSJ13"	393	"KB1"	5	2013-07-23	50	1	1000	"Oligotrichea"	"Strombididae non det."		"Strombididae non det. "		16635.11	2	213	60	156.198215962441	3123.96431924883	3123.96431924883	"niskin"
"MOSJ13"	465	"KB0"	50	2013-07-24	50	1	1000	"Flagellatae non det."	"Flagellatae non det."	"5-10um"	"Flagellatae 5-10um"		16635.11	6	248	60	402.462338709677	8049.24677419355	8049.24677419355	"niskin"
"MOSJ13"	465	"KB0"	50	2013-07-24	50	1	1000	"Dinophyceae "	"Gymnodinium galeatum"		"Gymnodinium galeatum "		16635.11	5	248	60	335.385282258065	6707.70564516129	6707.70564516129	"niskin"
"MOSJ13"	465	"KB0"	50	2013-07-24	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. cf g. gracilentum"	"Gymnodinium sp. cf. G. gracilentum"		16635.11	4	248	60	268.308225806452	5366.16451612903	5366.16451612903	"niskin"
"MOSJ13"	465	"KB0"	50	2013-07-24	50	1	1000	"Prymnesiophyceae "	"Coccolithales "	"non.det"	"Coccolithales  non.det"		16635.11	5	248	60	335.385282258065	6707.70564516129	6707.70564516129	"niskin"
"MOSJ13"	465	"KB0"	50	2013-07-24	50	1	1000	"Bacillariophyceae "	"Fragilariopsis"	"sp. cf f.nana"	"Fragilariopsis sp. cf. F. pseudonana"		16635.11	5	248	60	335.385282258065	6707.70564516129	6707.70564516129	"niskin"
"MOSJ13"	465	"KB0"	50	2013-07-24	50	1	1000	"Dinophyceae "	"Heterocapsa rotundata"		"Heterocapsa rotundata "		16635.11	5	248	60	335.385282258065	6707.70564516129	6707.70564516129	"niskin"
"MOSJ13"	465	"KB0"	50	2013-07-24	50	1	1000	"Choanoflagellatea "	"Monosiga marina"		"Monosiga marina "		16635.11	2	248	60	134.154112903226	2683.08225806452	2683.08225806452	"niskin"
"MOSJ13"	465	"KB0"	50	2013-07-24	50	1	1000	"Cryptophyceae "	"Cryptomonas"	"sp."	"Cryptomonas sp."	106282	16635.11	2	248	60	134.154112903226	2683.08225806452	2683.08225806452	"niskin"
"MOSJ13"	465	"KB0"	50	2013-07-24	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. 20-30um"	"Gymnodinium sp. 20-30um"		16635.11	1	248	60	67.0770564516129	1341.54112903226	1341.54112903226	"niskin"
